Turkish,Russian
hayvan,животное
savaş,война
mal,товар
saç,волосы
kaybetmek,потерять
kalan,осталось
değiştirmek,изменение
dört,четыре
gerçekten,действительно
sayfa,страница
teknoloji,технологии
kurum,учреждение
beş,пять
sektör,сектор
geniş,большой
kağıt,бумага
koku,запах
sağ,верно
sıcak,горячей
yüzyıl,века
cadde,улица
pazar,рынок
sürdürmek,поддерживать
kullanım,использование
sınıf,класс
aşk,люблю
doğmak,родиться
ağır,тяжелый
tekrar,еще раз
güneş,солнце
sigara,сигарета
ağaç,дерево
kelime,слово
bina,здание
eş,супруг
kaçmak,побег
parti,партия
yatak,постель
yazar,писатель
kulak,ухо
